Phrase	Count
B221	1
B222	1
B225	1
B226	1
B227	1
B228	1
B229	1
B230	1
B231	1
B232	1
B233	1
B234	1
B236	1
B240	1
B241	1
B242	1
B243	1
B245	1
B246	1
B247	1
B248	1
B249	1
B250	1
B251	1
B252	1
B253	1
B254	1
B255	1
B256	1
B257	1
B258	1
B259	1
B305	1
BA	319
BA-2	1
BAA	10
BAARERU	1
BABY	10
BACK	27
BACKHAND	80
BACKSLANTED	6
BACKSLASH	15
BACKSPACE	1
BACK-TILTED	11
BACON	1
BACTRIAN	1
BAD	79
BADGE	1
BADGER	2
BADMINTON	1
BAG	8
BAG3	1
BAGA	1
BAGEL	1
BAGGAGE	1
BAGS	2
BAGUETTE	1
BAH	1
BAHAR2	64
BAHIRGOMUKHA	1
BAHT	1
BAIMAI	1
BAIRKAN	1
BAL	19
BALAG	10
BALD	1
BALINESE	1386
BALL	28
BALLET	1
BALLOON	3
BALLOON-SPOK	1
BALLOON-SPOKED	7
BALLOT	33
BALLPOINT	1
BALUDA	2
BAMBOO	7
BAMBOOS	9
BAMUM	3547
BAN	10
BAN2	277
BANANA	1
BAND	1
BANDAGE	1
BANG	1
BANJO	1
BANK	3
BANKNOTE	4
BANTOC	1
BAP	1
BAR	10494
BARA2	1
BARB	2194
BARBER	1
BARIYOOSAN	1
BARLEY	1
BARLINE	10
BARRED	370
BARREE	129
BARREKH	1
BARRIER	1
BARS	135
BASE	8
BASEBALL	1
BASELINE	2
BASH	1
BASHKIR	4
BASKET	1
BASKETBALL	1
BASSA	301
BASSINET	2
BAT	3
BATAK	283
BATH	71
BATHAMASAT	1
BATHTUB	2
BATTERY	2
BAU	1
BAWAK	1
BAX	1
BAYANNA	3
BB	1
BBA	19
BBAA	1
BBAP	1
BBAT	1
BBAX	1
BBE	13
BBEE	1
BBEP	1
BBEX	1
BBI	2
BBIE	1
BBIEP	1
BBIET	1
BBIEX	1
BBIP	1
BBIT	1
BBIX	1
BBO	2
BBOP	1
BBOT	1
BBOX	1
BBU	2
BBUO	1
BBUOP	1
BBUOX	1
BBUP	1
BBUR	1
BBURX	1
BBUT	2
BBUX	1
BBY	1
BBYP	1
BBYT	1
BBYX	1
BCAD	1
BE	69
BEACH	1
BEADS	1
BEAM	2
BEAMED	4
BEAMS	2
BEAN	1
BEANS	1
BEAR	2
BEARDED	1
BEAT	2
BEATING	1
BEAVER	7
BECAUSE	1
BED	1
BEE	14
BEEH	10
BEEHIVE	1
BEER	2
BEETA	1
BEETLE	2
BEFORE	1
BEGIN	49
BEGINNER	1
BEGINNING	1
BEH	248
BEHEH	10
BEHIND	22
BEI	13
BEITH	1
BELGTHOR	1
BELL	7
BELLHOP	1
BELOW	1926
BELT	11
BEN	7
BEND	21
BENDE	1
BENGALI	417
BENT	4263
BENTO	1
BENZENE	2
BEORC	1
BEP	1
BERBER	1
BERBER ACADEMY	4
BERKANAN	1
BESIDE	310
BET	28
BETA	151
BETH	67
BETWEEN	704
BEVERAGE	2
BEX	1
BEYYAL	1
BH	1
BHA	138
BHAA	1
BHAIKSUKI	352
BHALE	45
BHAM	1
BHATTIPROLU	1
BHE	10
BHEE	1
BHETH	2
BHI	1
BHO	2
BHOO	1
BHU	1
BI	756
BIB	1
BIBLE-CREE	1
BICEPS	1
BICYCLE	1
BICYCLES	1
BICYCLIST	2
BIDENTAL	1
BIE	1
BIEP	1
BIET	1
BIEX	1
BIG	181
BIKINI	1
BILABIAL	13
BILLED	1
BILLIARDS	1
BILLIONS	1
BINARY	2
BINDI	2
BINDING	2
BINDU	73
BINOCULAR	4
BINOVILE	1
BIOHAZARD	1
BIP	1
BIRD	5
BIRGA	56
BIRTHDAY	1
BIRU	1
BISAH	1
BISECTING	1
BISHOP	6330
BISMILLAH	1
BISMUTH	1
BISON	1
BIT	2
BITCOIN	1
BITE	1
BITING	2
BITTER	1
BIX	1
BJARKAN	1
BKA-	1
BLA	1
BLACK	7740
BLACK-FEATHE	1
BLACK-FEATHERED	78
BLACKFOOT	18
BLACKLETTER	54
BLACK-LETTER	5
BLADE	2
BLANK	4
BLENDED	4
BLINK	4
BLOCK	898661
BLOCK-1358	1
BLOCK-2	4
BLOCK-3	4
BLOCK-4	4
BLOCK-5	4
BLOCK-6	4
BLOCK-7	4
BLOND	1
BLOOD	2
BLOSSOM	2
BLOW	1
BLOWFISH	1
BLOWING	2
BLUE	27
BLUEBERRIES	1
